id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.2.5_1,Gianyar,0.005927952576379389,0.13402688131217252,0.6308712919897641,0.5586615388217157,0.0,1.3460761879122358e-05,0.0032945736434108527,0,0.32713905858471043,Tinggi,-0.09286134290328818,-0.002404505766227971
IDN.2.6_1,Jembrana,0.010031919744642043,0.0768195279547698,0.5455935765860518,0.4900712678930811,0.00010431879824744419,0.00026248485664288597,0.0031007751937984496,1,0.29140905136714823,Sedang,-0.05582695418821876,-0.10816835781818113
IDN.2.7_1,Karangasem,0.21203830369357046,0.016463395217017483,0.648215259198394,0.47283619739285765,0.007928228666805759,0.037461300309597524,0.15290697674418605,1,0.29140905136714823,Sedang,-0.15406672391496967,-0.18375252959972926
IDN.2.8_1,Klungkung,0.005927952576379389,0.1323562912901511,0.4848129398632759,0.49145228171815386,0.0,0.0001278772378516624,0.010271317829457364,1,0.29140905136714823,Sedang,0.014292875614443479,-0.0890447090392914
IDN.2.9_1,Tabanan,0.020063839489284085,0.09494750067306829,0.5781613249798709,0.4544484336847293,0.00015647819737116627,0.00020191142818683537,0.03255813953488372,1,0.29140905136714823,Sedang,-0.04368932099061895,-0.11669495499002591
IDN.3.4_1,Bangka,0.00045599635202918376,0.06219151036525172,0.7061881917008622,0.9300803645353013,0.007302315877321094,0.002389285233544219,0.001937984496124031,0,0.32713905858471043,Tinggi,-0.3613460025880407,0.21634013492291015
IDN.3.1_1,BangkaBarat,0.001823985408116735,0.00246791707798618,0.7247297308839074,0.8681747780523322,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.3831414391334841,0.1438080087917899
IDN.3.2_1,BangkaSelatan,0.00045599635202918376,0.00493583415597236,0.6683239118374946,0.8802114717499836,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.3577743872572975,0.13791506380687857
IDN.3.3_1,BangkaTengah,0.00045599635202918376,0.00493583415597236,0.7055019684601388,0.9291765788739361,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.4007168884078448,0.18037499472343144
IDN.3.6_1,Belitung,0.0009119927040583675,0.6732477788746298,0.7279185479231789,0.8976924344576478,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,0.07289742536397742,0.5937900336980323
IDN.3.5_1,BelitungTimur,0.0009119927040583675,0.20138203356367226,0.7256426919226079,0.8687558324243058,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.24392880811915463,0.27193503059086355
IDN.3.7_1,Pangkalpinang,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
IDN.4.1_1,Cilegon,0.00045599635202918376,0.32477788746298125,0.4832430174419586,0.6364519360470171,0.0,2.019114281868354e-05,0.0001937984496124031,0,0.32713905858471043,Tinggi,0.08100224255024002,0.13133921901077494
IDN.4.2_1,KotaSerang,0.0009119927040583675,0.15695952615992104,0.4876894432951471,0.5967772624914935,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.020277449021817606,-0.0010277777884560857
IDN.4.3_1,KotaTangerang,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
