id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total
IDN.14.12_1,PulangPisau,10.0,135.1,5.938813959,5.3282058989,0.0,0.0,0.0
IDN.14.13_1,Seruyan,5.0,221.2,5.889874054,5.3534700156,0.0,0.0,0.0
IDN.14.14_1,Sukamara,1.0,10.0,5.999953564,5.999953564,0.0,0.0,0.0
IDN.34.1_1,Balikpapan,1.0,10.0,5.650650487,5.650650487,0.0,0.0,0.0
IDN.34.2_1,Berau,30.0,33.53333333333333,6.5384157,4.070401615933333,0.0,0.0,0.0
IDN.34.3_1,Bontang,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.34.5_1,KutaiBarat,15.0,60.2,6.26762163,5.4260616026,0.0,0.0,0.0
IDN.34.6_1,KutaiKartanegara,16.0,86.0,6.443614254,5.328307004375,0.0,0.0,0.0
IDN.34.7_1,KutaiTimur,41.0,48.170731707317074,6.660751929,3.882277930609756,0.0,0.0,0.0
IDN.34.10_1,Paser,19.0,48.421052631578945,6.2390493,4.557713104526316,0.0,141.0,19.0
IDN.34.11_1,PenajamPaserUtara,2.0,10.0,4.745573056,4.6862069365,0.0,0.0,0.0
IDN.34.12_1,Samarinda,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.35.4,Bulungan,14.0,52.5,5.596907287,4.217100191571428,0.0,0.0,0.0
IDN.35.8,Malinau,10.0,73.3,5.755497514,5.1946895929,0.0,0.0,0.0
IDN.35.9,Nunukan,3.0,48.666666666666664,5.265250379,4.767118193000001,0.0,0.0,0.0
IDN.35.13,TanaTidung,9.0,13.11111111111111,6.0261167,4.632427759333334,0.0,0.0,0.0
IDN.35.14,Tarakan,4.0,24.25,3.77915424,3.5354277764999997,7.0,31.0,2.0
IDN.16.1_1,Batam,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.16.2_1,Bintan,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.16.3_1,Karimun,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.16.4_1,KepulauanAnambas,0.0,514.0,0.0,0.0,11.0,697.0,73.0
IDN.16.5_1,Lingga,2.0,82.5,5.486055566,5.372418793,0.0,0.0,0.0
IDN.16.6_1,Natuna,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.16.7_1,Tanjungpinang,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.17.1_1,BandarLampung,1.0,10.0,2.758304806,2.758304806,0.0,0.0,0.0
IDN.17.2_1,LampungBarat,134.0,39.6044776119403,5.608943816,3.0023378782985075,0.0,0.0,0.0
IDN.17.3_1,LampungSelatan,15.0,73.0,6.282035514,3.8596046508,0.0,0.0,0.0
IDN.17.4_1,LampungTengah,37.0,104.24324324324324,5.71871405,3.5174209676486488,0.0,0.0,0.0
IDN.17.5_1,LampungTimur,5.0,81.2,6.052612018,4.0911600424,0.0,0.0,0.0
IDN.17.6_1,LampungUtara,13.0,158.46153846153845,4.705411,3.576281593230769,0.0,0.0,0.0
IDN.17.7_1,Mesuji,1.0,10.0,4.941214724,4.941214724,0.0,0.0,0.0
IDN.17.8_1,Metro,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.17.9_1,Pesawaran,24.0,58.833333333333336,4.595554334,3.187940008625,0.0,0.0,0.0
IDN.17.10_1,Pringsewu,6.0,116.5,5.161049,3.7433240501666667,0.0,0.0,0.0
IDN.17.11_1,Tanggamus,125.0,46.032,5.736918506,2.9609173720079998,0.0,14.0,0.0
IDN.17.12_1,TulangBawangBarat,2.0,20.0,5.243860413,4.362242239,0.0,0.0,0.0
IDN.17.13_1,Tulangbawang,3.0,137.33333333333334,5.82341845,5.238888213,0.0,0.0,0.0
IDN.17.14_1,WayKanan,26.0,192.6153846153846,4.938484501,3.8856271056923077,0.0,0.0,0.0
IDN.19.1_1,Ambon,65.0,18.661538461538463,4.314306169,2.834960731230769,93.0,1886.0,190.0
IDN.19.3_1,Buru,91.0,30.395604395604394,4.8227038,3.437968187648351,24.0,952.0,2.0
IDN.19.2_1,BuruSelatan,35.0,47.65714285714286,5.202467314,3.6347592297714284,0.0,0.0,0.0
IDN.19.4_1,KepulauanAru,0.0,514.0,0.0,0.0,0.0,0.0,8.0
IDN.19.5_1,MalukuBaratDaya,25.0,177.2,6.023659467,4.27988467704,7.0,251.0,31.0
IDN.19.6_1,MalukuTengah,939.0,21.26517571884984,6.113163366,3.1346945544313103,1170.0,9214.0,430.0
IDN.19.8_1,MalukuTenggara,2.0,18.0,4.384411175,3.9149468685000004,1.0,53.0,1.0
IDN.19.7_1,MalukuTenggaraBarat,9.0,54.22222222222222,5.668362296,4.676022113888888,0.0,0.0,0.0
IDN.19.9_1,SeramBagianBarat,584.0,19.618150684931507,6.594751327,2.953122185136986,407.0,1506.0,162.0
IDN.19.10_1,SeramBagianTimur,102.0,31.254901960784313,5.08586891,3.4305112036666667,0.0,0.0,0.0
IDN.19.11_1,Tual,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.18.1_1,HalmaheraBarat,174.0,37.02298850574713,6.684196875,3.330212558913793,7.0,1297.0,15.0
IDN.18.2_1,HalmaheraSelatan,153.0,39.61437908496732,7.106909133,3.8711718370718953,151.0,4308.0,386.0
IDN.18.3_1,HalmaheraTengah,19.0,18.526315789473685,4.38073959,3.311958004368421,0.0,0.0,0.0
IDN.18.4_1,HalmaheraTimur,159.0,27.452830188679247,5.391767098,3.411811692238994,0.0,0.0,0.0
