id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,depth_mean,mag_max,mag_mean
IDN.23.22_1,PuncakJaya,4435.784301002356,30.0,52.5,5.221857113,4.228925852566666
IDN.23.23_1,Puncak,7998.211650448316,19.0,75.63157894736842,5.241416698,4.284612609894737
IDN.23.24_1,Sarmi,14064.496380059893,1502.0,24.028628495339547,6.538650699,3.8268595610306257
IDN.23.25_1,Supiori,669.7475468852126,106.0,53.820754716981135,6.178617677,4.397460368952831
IDN.23.26_1,Tolikara,3657.7894145469086,41.0,57.951219512195124,7.243572629,4.451433938463414
IDN.23.27_1,Waropen,10822.531890347962,241.0,33.88381742738589,7.2165714,3.9871317658132783
IDN.23.28_1,Yahukimo,14705.664883929174,113.0,32.442477876106196,5.178810311,4.08852830238938
IDN.23.29_1,Yalimo,4021.1570160104043,44.0,43.29545454545455,5.304899219,4.035262759954545
IDN.23.2_1,BiakNumfor,2250.659683314596,187.0,26.529411764705884,5.720407715,3.9203340758930483
IDN.23.3_1,BovenDigoel,23897.174478099474,7.0,28.285714285714285,5.6024799,4.953035388571428
IDN.23.4_1,Deiyai,1847.0877201816197,7.0,26.285714285714285,4.726100554,4.345024421285714
IDN.23.5_1,Dogiyai,4666.222874590741,41.0,21.097560975609756,5.144930958,3.9737777916097556
IDN.23.6_1,IntanJaya,4648.0051714855335,33.0,100.36363636363636,5.349690398,3.984226884030303
IDN.23.7_1,Jayapura,14389.021654399488,1765.0,25.44532577903683,6.0233053,3.408973902829462
IDN.23.8_1,Jayawijaya,2649.5520467063407,22.0,70.45454545454545,5.006999787,4.065797542409091
IDN.23.9_1,Keerom,9111.585260240525,254.0,25.988188976377952,5.598549791,3.5625682577165354
IDN.24.10_1,RokanHilir,9098.791885788463,27.0,65.51851851851852,6.073322137,4.884178117296297
IDN.24.11_1,RokanHulu,7295.05174991009,29.0,176.13793103448276,4.88064835,3.6649974723793104
IDN.24.12_1,Siak,7823.5498712779345,1.0,84.0,4.988077661,4.988077661
IDN.24.1_1,Bengkalis,8513.277050649549,17.0,82.76470588235294,6.003885853,4.610500536470589
IDN.24.3_1,IndragiriHilir,13426.12112113894,10.0,110.0,6.255845165,5.1807963448
IDN.24.4_1,IndragiriHulu,8086.509809475391,4.0,78.25,4.942545503,4.3927358645000005
IDN.24.5_1,Kampar,10759.279805215412,12.0,83.33333333333333,5.771043297,4.110023544666666
IDN.24.6_1,KepulauanMeranti,3640.934216351165,2.0,10.0,5.690583316,5.551172959
IDN.24.7_1,KuantanSingingi,5292.071715053802,10.0,100.9,5.506432836,3.7302826961
IDN.24.8_1,Pekanbaru,625.4780640043069,2.0,15.5,5.58365596,4.97896528
IDN.24.9_1,Pelalawan,13064.89830769846,5.0,188.6,5.409750603,4.9272998492
IDN.25.1_1,Majene,904.1545265029171,125.0,23.168,6.463147163,3.22428513644
IDN.25.2_1,Mamasa,2977.1451154910924,497.0,10.613682092555331,5.972808766,2.756611731440644
IDN.25.3_1,MamujuUtara,2954.6946998006288,165.0,23.078787878787878,5.791088474,3.329644392951515
IDN.25.4_1,Mamuju,7678.180819193145,421.0,20.56769596199525,6.09529678,3.163471471016627
IDN.25.5_1,PolewaliMandar,2089.1105942753056,41.0,29.097560975609756,5.067133238,2.5497986952439025
IDN.26.10_1,LuwuUtara,7587.249703162074,168.0,13.386904761904763,5.497875055,2.952509491791667
IDN.26.11_1,Luwu,2907.0700915273815,18.0,21.27777777777778,5.470710595,3.1775571983888886
IDN.26.12_1,Makassar,183.62522230803856,1.0,56.0,3.242074886,3.242074886
IDN.26.13_1,Maros,1452.0048901109824,21.0,10.0,4.088023005,1.8284541902380953
IDN.26.14_1,Palopo,281.8967076937379,2.0,7.5,2.074574023,1.9033459405
IDN.26.15_1,PangkajeneDanKepulauan,883.5100125131954,440.0,105.61590909090908,6.467167587,3.5131518129272727
IDN.26.16_1,Parepare,87.96784790623353,3.0,10.0,3.081212259,2.585734817666667
IDN.26.17_1,Pinrang,1918.719723114664,94.0,12.170212765957446,5.8986837,2.6625175945319146
IDN.26.18_1,SidenrengRappang,1989.5520894466474,23.0,12.826086956521738,4.828706909,2.6228853695652172
IDN.26.19_1,Sinjai,878.4191066704718,11.0,79.63636363636364,4.430196336,3.0679443346363637
IDN.26.1_1,Bantaeng,403.072306579996,7.0,12.571428571428571,4.734399588,2.9778215311428573
IDN.26.20_1,Soppeng,1369.5704512486548,25.0,12.76,4.19925756,2.2268014772
IDN.26.21_1,Takalar,577.1628790414534,9.0,16.22222222222222,5.454035706,3.817907665222222
IDN.26.22_1,TanaToraja,2028.6855440043855,55.0,10.636363636363637,4.6168671,2.871014883781818
IDN.26.23_1,TorajaUtara,1242.1011243684595,49.0,14.061224489795919,4.8361933,3.028937206877551
